Date dd/mm/yyyy,Time HH:MM,Division,Home Team,Away Team,Venue,Pitch,Home Score,Away Score
07/09/2023,20:00,,BRNA,BRNB,,,,
07/09/2023,20:00,,CAHB,SKYB,,,,
07/09/2023,20:00,,FIDD,PLOA,,,,
07/09/2023,20:00,,NGH,GUDP,,,,
07/09/2023,20:00,,STL,GLDM,,,,
07/09/2023,20:00,,TBH,AZB,,,,
14/09/2023,20:00,,BRNB,CAHB,,,,
14/09/2023,20:00,,AZB,BRNA,,,,
14/09/2023,20:00,,GLDM,TBH,,,,
14/09/2023,20:00,,GUDP,STL,,,,
14/09/2023,20:00,,PLOA,NGH,,,,
14/09/2023,20:00,,SKYB,FIDD,,,,
21/09/2023,20:00,,BRNA,CAHB,,,,
21/09/2023,20:00,,AZB,GLDM,,,,
21/09/2023,20:00,,FIDD,BRNB,,,,
21/09/2023,20:00,,NGH,SKYB,,,,
21/09/2023,20:00,,STL,PLOA,,,,
21/09/2023,20:00,,TBH,GUDP,,,,
28/09/2023,20:00,,BRNB,NGH,,,,
28/09/2023,20:00,,CAHB,FIDD,,,,
28/09/2023,20:00,,GLDM,BRNA,,,,
28/09/2023,20:00,,GUDP,AZB,,,,
28/09/2023,20:00,,PLOA,TBH,,,,
28/09/2023,20:00,,SKYB,STL,,,,
05/10/2023,20:00,,BRNA,FIDD,,,,
05/10/2023,20:00,,AZB,PLOA,,,,
05/10/2023,20:00,,GLDM,GUDP,,,,
05/10/2023,20:00,,NGH,CAHB,,,,
05/10/2023,20:00,,STL,BRNB,,,,
05/10/2023,20:00,,TBH,SKYB,,,,
19/10/2023,20:00,,BRNB,TBH,,,,
19/10/2023,20:00,,CAHB,STL,,,,
19/10/2023,20:00,,FIDD,NGH,,,,
19/10/2023,20:00,,GUDP,BRNA,,,,
19/10/2023,20:00,,PLOA,GLDM,,,,
19/10/2023,20:00,,SKYB,AZB,,,,
26/10/2023,20:00,,BRNA,NGH,,,,
26/10/2023,20:00,,AZB,BRNB,,,,
26/10/2023,20:00,,GLDM,SKYB,,,,
26/10/2023,20:00,,GUDP,PLOA,,,,
26/10/2023,20:00,,STL,FIDD,,,,
26/10/2023,20:00,,TBH,CAHB,,,,
09/11/2023,20:00,,BRNB,GLDM,,,,
09/11/2023,20:00,,CAHB,AZB,,,,
09/11/2023,20:00,,FIDD,TBH,,,,
09/11/2023,20:00,,NGH,STL,,,,
09/11/2023,20:00,,PLOA,BRNA,,,,
09/11/2023,20:00,,SKYB,GUDP,,,,
16/11/2023,20:00,,BRNA,STL,,,,
16/11/2023,20:00,,AZB,FIDD,,,,
16/11/2023,20:00,,GLDM,CAHB,,,,
16/11/2023,20:00,,GUDP,BRNB,,,,
16/11/2023,20:00,,PLOA,SKYB,,,,
16/11/2023,20:00,,TBH,NGH,,,,
30/11/2023,20:00,,BRNB,PLOA,,,,
30/11/2023,20:00,,CAHB,GUDP,,,,
30/11/2023,20:00,,FIDD,GLDM,,,,
30/11/2023,20:00,,NGH,AZB,,,,
30/11/2023,20:00,,STL,TBH,,,,
30/11/2023,20:00,,SKYB,BRNA,,,,
07/12/2023,20:00,,BRNA,TBH,,,,
07/12/2023,20:00,,AZB,STL,,,,
07/12/2023,20:00,,GLDM,NGH,,,,
07/12/2023,20:00,,GUDP,FIDD,,,,
07/12/2023,20:00,,PLOA,CAHB,,,,
07/12/2023,20:00,,SKYB,BRNB,,,,
14/12/2023,20:00,,BRNB,BRNA,,,,
14/12/2023,20:00,,AZB,TBH,,,,
14/12/2023,20:00,,GLDM,STL,,,,
14/12/2023,20:00,,GUDP,NGH,,,,
14/12/2023,20:00,,PLOA,FIDD,,,,
14/12/2023,20:00,,SKYB,CAHB,,,,
11/01/2024,20:00,,BRNA,AZB,,,,
