Date dd/mm/yyyy,Time HH:MM,Division,Home Team,Away Team,Venue,Pitch,Home Score,Away Score
30/03/2023,20:00,,EAG,PLOB,,,,
30/03/2023,20:00,,SKY,TR,,,,
30/03/2023,20:00,,PLOC,COR,,,,
30/03/2023,20:00,,PLOD,BRNA,,,,
30/03/2023,20:00,,MALB,BRTA,,,,
13/04/2023,20:00,,BRTA,BRTB,,,,
13/04/2023,20:00,,EAG,PEL,,,,
13/04/2023,20:00,,SKY,PLOB,,,,
13/04/2023,20:00,,PLOC,TR,,,,
13/04/2023,20:00,,PLOD,COR,,,,
13/04/2023,20:00,,MALB,BRNA,,,,
20/04/2023,20:00,,BRTB,EAG,,,,
20/04/2023,20:00,,BRNA,BRTA,,,,
20/04/2023,20:00,,COR,MALB,,,,
20/04/2023,20:00,,TR,PLOD,,,,
20/04/2023,20:00,,PLOB,PLOC,,,,
20/04/2023,20:00,,PEL,SKY,,,,
04/05/2023,20:00,,BRTA,EAG,,,,
04/05/2023,20:00,,BRNA,COR,,,,
04/05/2023,20:00,,SKY,BRTB,,,,
04/05/2023,20:00,,PLOC,PEL,,,,
04/05/2023,20:00,,PLOD,PLOB,,,,
04/05/2023,20:00,,MALB,TR,,,,
11/05/2023,20:00,,BRTB,PLOC,,,,
11/05/2023,20:00,,EAG,SKY,,,,
11/05/2023,20:00,,COR,BRTA,,,,
11/05/2023,20:00,,TR,BRNA,,,,
11/05/2023,20:00,,PLOB,MALB,,,,
11/05/2023,20:00,,PEL,PLOD,,,,
25/05/2023,20:00,,BRTA,SKY,,,,
25/05/2023,20:00,,BRNA,PLOB,,,,
25/05/2023,20:00,,COR,TR,,,,
25/05/2023,20:00,,PLOC,EAG,,,,
25/05/2023,20:00,,PLOD,BRTB,,,,
25/05/2023,20:00,,MALB,PEL,,,,
01/06/2023,20:00,,BRTB,MALB,,,,
01/06/2023,20:00,,EAG,PLOD,,,,
01/06/2023,20:00,,SKY,PLOC,,,,
01/06/2023,20:00,,TR,BRTA,,,,
01/06/2023,20:00,,PLOB,COR,,,,
01/06/2023,20:00,,PEL,BRNA,,,,
