Date dd/mm/yyyy,Time HH:MM,Division,Home Team,Away Team,Venue,Pitch,Home Score,Away Score
17/02/2022,20:00,,BRTA,BRTB,,,,
17/02/2022,20:00,,SKY,BRNA,,,,
17/02/2022,20:00,,EAG,PLOC,,,,
17/02/2022,20:00,,TR,PEL,,,,
17/02/2022,20:00,,MALB,COR,,,,
24/02/2022,20:00,,BRTB,SKY,,,,
24/02/2022,20:00,,COR,BRTA,,,,
24/02/2022,20:00,,PEL,MALB,,,,
24/02/2022,20:00,,PLOC,TR,,,,
24/02/2022,20:00,,BRNA,EAG,,,,
10/03/2022,20:00,,BRTA,SKY,,,,
10/03/2022,20:00,,COR,PEL,,,,
10/03/2022,20:00,,EAG,BRTB,,,,
10/03/2022,20:00,,TR,BRNA,,,,
10/03/2022,20:00,,MALB,PLOC,,,,
17/03/2022,20:00,,BRTB,TR,,,,
17/03/2022,20:00,,SKY,EAG,,,,
17/03/2022,20:00,,PEL,BRTA,,,,
17/03/2022,20:00,,PLOC,COR,,,,
17/03/2022,20:00,,BRNA,MALB,,,,
31/03/2022,20:00,,BRTA,EAG,,,,
31/03/2022,20:00,,COR,BRNA,,,,
31/03/2022,20:00,,PEL,PLOC,,,,
31/03/2022,20:00,,TR,SKY,,,,
31/03/2022,20:00,,MALB,BRTB,,,,
07/04/2022,20:00,,BRTB,COR,,,,
07/04/2022,20:00,,SKY,MALB,,,,
07/04/2022,20:00,,EAG,TR,,,,
07/04/2022,20:00,,PLOC,BRTA,,,,
07/04/2022,20:00,,BRNA,PEL,,,,
21/04/2022,20:00,,BRTA,TR,,,,
21/04/2022,20:00,,COR,SKY,,,,
21/04/2022,20:00,,PEL,BRTB,,,,
21/04/2022,20:00,,PLOC,BRNA,,,,
21/04/2022,20:00,,MALB,EAG,,,,
28/04/2022,20:00,,BRTB,PLOC,,,,
28/04/2022,20:00,,SKY,PEL,,,,
28/04/2022,20:00,,EAG,COR,,,,
28/04/2022,20:00,,TR,MALB,,,,
28/04/2022,20:00,,BRNA,BRTA,,,,
05/05/2022,20:00,,BRTA,MALB,,,,
05/05/2022,20:00,,COR,TR,,,,
05/05/2022,20:00,,PEL,EAG,,,,
05/05/2022,20:00,,PLOC,SKY,,,,
05/05/2022,20:00,,BRNA,BRTB,,,,
19/05/2022,20:00,,BRTB,BRTA,,,,
19/05/2022,20:00,,COR,MALB,,,,
19/05/2022,20:00,,PEL,TR,,,,
19/05/2022,20:00,,PLOC,EAG,,,,
19/05/2022,20:00,,BRNA,SKY,,,,
26/05/2022,20:00,,BRTA,COR,,,,
26/05/2022,20:00,,SKY,BRTB,,,,
26/05/2022,20:00,,EAG,BRNA,,,,
26/05/2022,20:00,,TR,PLOC,,,,
26/05/2022,20:00,,MALB,PEL,,,,
09/06/2022,20:00,,BRTB,EAG,,,,
09/06/2022,20:00,,SKY,BRTA,,,,
09/06/2022,20:00,,PEL,COR,,,,
09/06/2022,20:00,,PLOC,MALB,,,,
09/06/2022,20:00,,BRNA,TR,,,,
16/06/2022,20:00,,BRTA,PEL,,,,
16/06/2022,20:00,,COR,PLOC,,,,
16/06/2022,20:00,,EAG,SKY,,,,
16/06/2022,20:00,,TR,BRTB,,,,
16/06/2022,20:00,,MALB,BRNA,,,,
23/06/2022,20:00,,BRTB,MALB,,,,
23/06/2022,20:00,,SKY,TR,,,,
23/06/2022,20:00,,EAG,BRTA,,,,
23/06/2022,20:00,,PLOC,PEL,,,,
23/06/2022,20:00,,BRNA,COR,,,,
30/06/2022,20:00,,BRTA,PLOC,,,,
30/06/2022,20:00,,COR,BRTB,,,,
30/06/2022,20:00,,PEL,BRNA,,,,
30/06/2022,20:00,,TR,EAG,,,,
30/06/2022,20:00,,MALB,SKY,,,,
07/07/2022,20:00,,BRTB,PEL,,,,
07/07/2022,20:00,,SKY,COR,,,,
07/07/2022,20:00,,EAG,MALB,,,,
07/07/2022,20:00,,TR,BRTA,,,,
07/07/2022,20:00,,BRNA,PLOC,,,,
14/07/2022,20:00,,BRTA,BRNA,,,,
14/07/2022,20:00,,COR,EAG,,,,
14/07/2022,20:00,,PEL,SKY,,,,
14/07/2022,20:00,,PLOC,BRTB,,,,
14/07/2022,20:00,,MALB,TR,,,,
21/07/2022,20:00,,BRTB,BRNA,,,,
21/07/2022,20:00,,SKY,PLOC,,,,
21/07/2022,20:00,,EAG,PEL,,,,
21/07/2022,20:00,,TR,COR,,,,
21/07/2022,20:00,,MALB,BRTA,,,,
